appointment_id,NSQG,NSQU,NSQM,LOGDTU,LOGDTA,WORDLN_2,NWF_MEDIAN,COLPREP,SVF,H1
51113,-0.08712417295272401,-0.0872041440393895,-0.16314401485114,1.94591014905531,4.3193910636824,4.50570342205323,-64.66180699824291,0.596079126786417,3.62280839027768,4.0
1000000000334621,-0.0786796726975521,-0.0794928633517164,-0.15393726795176998,1.94591014905531,4.5045602730888605,4.92890995260664,-58.1834785474051,0.657845354014075,4.44617804982512,5.0
1000000000258422,-0.0574019960838317,-0.120635875895252,-0.164398987305357,2.07944154167984,4.09642572842592,4.62370062370062,-59.5586211080155,0.539767541580042,3.742276323340661,4.0
1000000000154031,-0.109082682247014,-0.12371791482634804,-0.14285714285714302,1.09861228866811,4.17950237056241,4.795918367346942,-60.4892689422647,0.6899022556390971,3.23985329188006,3.0
1000000000152885,-0.050060292260973,0.0,-0.0651635212451075,1.94591014905531,4.2089479449611,4.70488322717622,-60.1661153660343,0.749196573687678,3.98946472124657,5.0
810,-0.0412074805147093,-0.135250445200115,-0.123466199581199,1.6094379124341005,4.18357569595004,5.32012195121951,-59.3937825993931,0.5761026957638,3.69829047780042,4.0
10559,-0.0675094425472759,-0.114960249785902,-0.181768114852667,2.19722457733622,3.92087262070513,4.5704845814978,-64.4779106463447,0.6142383541100389,3.58820350567289,3.0
48368,-0.13064486857168905,-0.117444043902941,-0.143838990445615,0.693147180559945,4.28358656186063,4.55862068965517,-62.8681577684933,0.5188599137931029,3.0195134487839703,2.0
1000000000851106,-0.0483484337143267,-0.0969003166223018,-0.137037741965506,1.79175946922805,4.26267987704132,4.82159624413146,-60.672284399965896,0.6142689599133261,4.02788814221792,4.0
1000000000265341,-0.11796252051309596,-0.0956948752938691,-0.154303349962092,2.07944154167984,4.22317743406507,4.521978021978018,-62.1058453097655,0.5041182764603821,3.6531632203476296,4.0
1000000000460923,-0.0845973293937543,0.0,-0.121267812518166,2.19722457733622,3.9681932768952,3.97058823529412,-66.6479796775627,0.525060253888789,3.11286915750227,4.0
1000000000419115,-0.0587814969726134,0.0,-0.164398987305357,1.38629436111989,3.8340614639584314,4.7405405405405405,-59.1978180950861,0.5887628992628989,2.90722317989901,3.0
1000000000151715,-0.069705266391989,-0.12539246564388,-0.202189275543126,1.6094379124341005,4.15261347034608,5.113207547169809,-56.667488006572,0.72362893081761,3.7553192376132296,4.0
1000000000349384,-0.0479541342804519,-0.0453609211626514,-0.128300059819917,1.79175946922805,4.39444915467244,4.53703703703704,-60.8199641905902,0.594808820898193,3.62664756600806,4.0
1000000000634009,-0.0976942232414843,-0.124721912892465,-0.156347191994114,1.94591014905531,4.1633374337090485,4.71333333333333,-59.5586211080155,0.494393162393163,3.56603256944545,3.0
1000000000264204,-0.062980382469149,0.0,-0.24182541670333704,0.693147180559945,4.44851637594271,4.8830409356725095,-61.7983916256539,0.830082321187585,3.47381845635508,2.0
1000000000857991,-0.0770636446365757,-0.0782660480194832,-0.123749487600839,2.07944154167984,4.4021355875965895,5.10872894333844,-56.772573609958286,0.5238182427258811,4.35976920721156,4.0
